탑승 일시,요일,탑승 시간,하차 시간,이동 시간,노선(호선),승차역,하차역,사용금액,교통수단,버스번호
2023-05-09,화,2023-06-07 06:42:51,2023-06-07 07:47:55,01:05:04,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.1
2023-05-08,월,2023-06-07 08:09:35,2023-06-07 08:23:03,00:13:28,경기버스노선,지하철2호선.강남역(중),학동역6번출구,400,2차 교통,9202.0
2023-05-08,월,2023-06-07 06:39:24,2023-06-07 07:53:32,01:14:08,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.1
2023-05-04,목,2023-06-07 07:32:25,2023-06-07 07:43:27,00:11:02,경기버스노선,지하철2호선.강남역(중),학동역6번출구,400,2차 교통,9202.0
2023-05-04,목,2023-06-07 06:27:07,2023-06-07 07:28:55,01:01:48,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2400,1차 교통,5001.0
2023-05-03,수,2023-06-07 08:04:14,2023-06-07 08:16:05,00:11:51,경기버스노선,지하철2호선.강남역(중),학동역6번출구,400,2차 교통,9202.0
2023-05-03,수,2023-06-07 06:39:06,2023-06-07 07:42:57,01:03:51,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.0
2023-05-02,화,2023-06-07 08:04:45,2023-06-07 08:17:39,00:12:54,경기버스노선,지하철2호선.강남역(중),학동역6번출구,400,2차 교통,9202.0
2023-05-02,화,2023-06-07 06:42:16,2023-06-07 07:58:56,01:16:40,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.1
2023-04-28,금,2023-06-07 07:54:09,2023-06-07 08:04:29,00:10:20,경기버스노선,지하철2호선.강남역(중),학동역6번출구,300,2차 교통,9202.0
2023-04-28,금,2023-06-07 06:42:44,2023-06-07 07:37:29,00:54:45,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.0
2023-04-27,목,2023-06-07 08:09:22,2023-06-07 08:22:56,00:13:34,경기버스노선,지하철2호선.강남역(중),학동역6번출구,400,2차 교통,9202.0
2023-04-27,목,2023-06-07 06:54:06,2023-06-07 08:01:31,01:07:25,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.1
2023-04-26,수,2023-06-07 07:51:13,2023-06-07 08:02:05,00:10:52,경기버스노선,지하철2호선.강남역(중),학동역,400,2차 교통,9202.0
2023-04-26,수,2023-06-07 06:39:05,2023-06-07 07:47:43,01:08:38,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.1
2023-04-25,화,2023-06-07 08:01:02,2023-06-07 08:12:31,00:11:29,경기버스노선,지하철2호선.강남역(중),학동역6번출구,300,2차 교통,9202.0
2023-04-25,화,2023-06-07 06:43:00,2023-06-07 07:53:23,01:10:23,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.1
2023-04-24,월,2023-06-07 08:06:10,2023-06-07 08:17:40,00:11:30,경기버스노선,지하철2호선.강남역(중),학동역6번출구,300,2차 교통,9202.0
2023-04-24,월,2023-06-07 06:49:41,2023-06-07 07:52:56,01:03:15,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.0
2023-04-21,금,2023-06-07 07:56:17,2023-06-07 08:07:16,00:10:59,경기버스노선,지하철2호선.강남역(중),학동역6번출구,300,2차 교통,9202.0
2023-04-21,금,2023-06-07 06:42:53,2023-06-07 07:39:46,00:56:53,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.0
2023-04-20,목,2023-06-07 08:06:14,2023-06-07 08:15:44,00:09:30,경기버스노선,지하철2호선.강남역(중),학동역6번출구,300,2차 교통,9202.0
2023-04-20,목,2023-06-07 06:45:55,2023-06-07 07:50:04,01:04:09,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.1
2023-04-19,수,2023-06-07 08:06:46,2023-06-07 08:20:23,00:13:37,경기버스노선,지하철2호선.강남역(중),학동역6번출구,300,2차 교통,9202.0
2023-04-19,수,2023-06-07 06:54:56,2023-06-07 08:00:49,01:05:53,경기버스노선,명지대입구,신논현역.주류성빌딩,2800,1차 교통,5001.1
